J095743.26+004123.6 200.63 4.43  4.86 0.86 0.49 0.06  5.53 1.07 0.98  4.62 0.10 196.74  2.87
J100230.82+001826.2 145.15 4.39  4.22 0.43 0.62 0.03  6.13 0.64 0.95  2.64 0.08 266.68  4.91
J142729.65+010321.0 110.89 4.37  0.56 0.08 0.32 0.03  0.45 0.06 0.96  2.42 0.10 100.75  3.87
J144503.29+003137.1 124.82 4.38  2.11 0.32 0.43 0.04  2.12 0.35 0.99  4.86 0.17 157.89  3.10
J153045.16-002211.5 166.22 4.41  4.57 0.71 0.54 0.06  5.66 0.95 0.93  3.69 0.10 198.32  2.58
J232238.68-005903.7 148.36 4.39  3.36 0.35 0.50 0.02  3.88 0.41 0.95  5.03 0.15 168.21  3.38
J232613.88+010828.2 155.12 4.40  2.68 0.37 0.41 0.06  2.58 0.42 0.99  3.81 0.11 163.83  3.22
J233152.99-004934.4 106.31 4.36  0.54 0.10 0.21 0.08  0.35 0.09 1.00  3.94 0.17  82.23  3.31
J235603.89-000958.6 116.31 4.37  1.02 0.14 0.25 0.04  0.71 0.11 0.97  3.58 0.16 101.82  2.67
J234504.86-001615.1 103.61 4.36  1.22 0.23 0.37 0.06  1.09 0.23 0.98  4.43 0.19 116.33  2.56
J235624.68-001739.6 110.86 4.37  0.41 0.05 0.39 0.03  0.38 0.05 1.00  2.02 0.08  93.08  8.01
J001006.62-002609.6 143.75 4.39  2.23 0.31 0.49 0.03  2.54 0.36 0.92  2.52 0.08 130.02  2.75
J002025.78+004934.9  76.13 4.34  2.06 0.34 0.74 0.02  3.80 0.63 0.92  5.85 0.34 127.50  7.68
J004239.34+001638.7 195.48 4.43  5.62 0.59 0.60 0.03  7.86 0.87 0.93  6.41 0.15 246.59  4.01
J004935.68+010655.5  78.47 4.34  4.05 1.35 0.56 0.09  5.26 1.83 1.00  7.95 0.44 204.32  2.01
J094949.62+010533.2 151.02 4.39  1.76 0.26 0.46 0.05  1.86 0.30 1.00  4.40 0.13 145.83  3.14
J144307.79+010600.0 146.80 4.39  2.03 0.33 0.43 0.08  2.05 0.40 0.95  3.21 0.14 164.33  3.32
J015746.24-011229.9 187.72 4.42  9.95 2.25 0.64 0.06 15.01 3.51 0.93  4.57 0.11 323.99 11.84
J020853.01+004712.6 188.47 4.42  7.96 0.99 0.57 0.04 10.45 1.38 0.98  6.05 0.14 245.15  3.87
J022606.71-001954.9  94.38 4.35  7.60 1.23 0.55 0.05  9.59 1.64 0.97  7.05 0.33 251.28  4.03
